scientificName,decimalLongitude,decimalLatitude
Carcinus maenas,4.05114248,51.36985384
Carcinus maenas,4.77667,52.9975
Carcinus maenas,3.8,51.79166667
Carcinus maenas,4.77667,52.9975
Carcinus maenas,3.8336748,51.62403221
Carcinus maenas,-70.85549927,42.54634857
Carcinus maenas,10.4375,57.5855
Carcinus maenas,2.945999219,51.26500035
Carcinus maenas,3.73333333,51.75
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-3.86895,48.68734
Carcinus maenas,2.719369411,51.22555542
Carcinus maenas,4.77667,52.9975
Carcinus maenas,2.49029994,51.31949997
Carcinus maenas,-54.20992,47.56693
Carcinus maenas,4.7572,52.9651
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-61.920833,45.64
Carcinus maenas,2.535300016,51.14099884
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,3.258948339,51.38095325
Carcinus maenas,-125.20227,49.03705
Carcinus maenas,-4.247372,53.20584
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,6.08333333,53.53333333
Carcinus maenas,-5.045692662,51.6763257
Carcinus maenas,3.58333333,51.675
Carcinus maenas,1.1889,51.95267
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-1.22793,44.66337
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-66.89,45.0417
Carcinus maenas,4.08763543,51.62755759
Carcinus maenas,3.766388893,51.74944305
Carcinus maenas,-62.6532,45.6237
Callinectes sapidus,-76.12000275,34.99399948
Callinectes sapidus,-96.605556,28.331944
Callinectes sapidus,-96.725,28.291667
Callinectes sapidus,-75.97683333,37.60983333
Callinectes sapidus,-80.64900208,32.07799912
Callinectes sapidus,-96.991667,28.124167
Callinectes sapidus,-97.141667,27.791667
Callinectes sapidus,-96.758056,28.408889
Callinectes sapidus,-95.808056,28.725
Callinectes sapidus,-87.8283,30.3933
Callinectes sapidus,-88.13,30.2467
Callinectes sapidus,-96.841667,28.125
Callinectes sapidus,-96.758333,28.225278
Callinectes sapidus,-96.658333,28.308333
Callinectes sapidus,-97.395833,27.873611
Callinectes sapidus,-96.375,28.441389
Callinectes sapidus,-96.775,28.325
Callinectes sapidus,-96.776389,28.45
Callinectes sapidus,-96.441944,28.408056
Callinectes sapidus,-97.119167,27.809167
Callinectes sapidus,-97.265833,26.085
Callinectes sapidus,-96.585556,28.782222
Callinectes sapidus,-95.875,28.708333
